李白乘舟将欲行，忽闻岸上踏歌声。	李白乘舟将欲行，忽闻岸上踏歌声。	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0
独在异乡为异客，	独在异乡为异客，	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0
借指纸。《汉书·外戚传下·孝成赵皇后》：「武发篋中，有裹药二枚，赫蹏书。」	借指纸。《汉书·外戚传下·孝成赵皇后》：「武发篋中，有裹药二枚，赫蹏书。」	0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,-0.5,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0	0
《〈【连排	《〈【连排	0,0,0,0,0	-0.5,-0.5,0,0,0	0
窃·《格瓦拉	窃·《格瓦拉	0,0.25,0,0,0,0	0,0,0,0,0,0	0
字‧《作品	字‧《作品	0,0,0,0,0	0,-0.25,0,0,0	0
他说。“好”	他说。“好”	0,0,0,0,0,0	0,0,-0.25,0,0,0	0
“《赵后传》	“《赵后传》	0,0,0,0,0,0	-0.25,0,0,0,0,0	0
中文 abc 中文	中文abc中文	0,0,0.25,0,0,0,0	0,0,0,0,0.25,0,0	2
abc 中文	abc中文	0,0,0,0,0	0,0,0.25,0,0	1
中文 abc	中文abc	0,0,0.25,0,0	0,0,0,0,0	1
中文 Hello, world! 中文	中文Hello, world!中文	0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0	2
Hello, world!是大家第一次学习Programming时最常写的demo，它看似简单，但对有些人来说寥寥数语有时也会产生bug。	Hello, world!是大家第一次学习Programming时最常写的demo，它看似简单，但对有些人来说寥寥数语有时也会产生bug。	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0
红藕香残玉簟秋。轻解罗裳，独上兰舟。	红藕香残玉簟秋。轻解罗裳，独上兰舟。	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0
云中谁寄锦书来，雁字回时，月满西楼。	云中谁寄锦书来，雁字回时，月满西楼。	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0
抖音App日活破6亿（2024年）。	抖音App日活破6亿（2024年）。	0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0	0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0.25,0,-0.5,0	0
第3次测试：iPhone 15 Pro Max 与 iPhone 15 Pro 的差异。	第3次测试：iPhone 15 Pro Max与iPhone 15 Pro的差异。	0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0	3
（一）《诗经》曰：「关关雎鸠，在河之洲。」	（一）《诗经》曰：「关关雎鸠，在河之洲。」	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,-0.5,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,-0.5,0	0
价格是100元——真的很贵……	价格是100元——真的很贵……	0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0	0
A股、H股、N股：三者不同。	A股、H股、N股：三者不同。	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0.25,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0	0
日本語のテキストと中文混排test。	日本語のテキストと中文混排test。	0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0
